机型,关键词
X Flip,"['折叠', '屏幕', 'Flip', '外屏', '售后', '显示']"
X Fold,"['售后', '折叠', '系统', '屏幕', '显示', '中心', '卡', '预约', '内屏', '反馈', '地址']"
X Fold+,"['显示', '系统', '折叠', '屏幕', '售后', '设置', '软件', '功能']"
X Fold2,"['折叠', '屏幕', '显示', '功能', '售后', '预约', '系统']"
X80,"['系统', '卡', '游戏', '反馈', '显示', '售后', '设置', '软件', '功能', '更新', '版本']"
X80 Pro,"['系统', '卡', '更新', '游戏', '显示', '电池', '设置', '版本']"
X90,"['卡', '系统', '游戏', '显示', '屏幕', '版本', '设置', '软件', '功能', '模式']"
X90 Pro,"['卡', '系统', '显示', '屏幕', '游戏', '功能', '版本', '设置', '次', '两']"
X90 Pro+,"['系统', '显示', '卡', '照片', '设置', '版本', '模式', '功能', '游戏', '软件', '屏幕']"
X90s,"['卡', '游戏', '钱']"
iQOO 10,"['游戏', '系统', '卡', '更新', '显示', '设置', '耗电', '玩', '版本', '王者', '软件', '屏幕', '功能', '模式']"
iQOO 10 Pro,"['游戏', '系统', '卡', '更新', '显示', '版本', '耗电', '软件', '设置', '玩', '功能', '屏幕']"
iQOO 11,"['游戏', '卡', '系统', '版本', '显示', '设置', '玩', '屏幕', '软件', '王者', '模式', '功能', '更新', '帧']"
iQOO 11 Pro,"['游戏', '系统', '卡', '显示', '更新', '设置', '版本', '软件', '屏幕', '功能', '电池']"
iQOO 11S,"['游戏', '充电', '卡', '系统', '屏幕', '耳机', '玩', '显示']"
