机型,关键词
S12 Pro,"['卡', '游戏', '显示', '系统', '软件', '设置', '更新', '功能']"
S12(PD2162),"['游戏', '卡', '系统', '显示', '软件', '更新', '设置', '售后', '反馈']"
S15,"['系统', '游戏', '显示', '耗电', '卡', '软件', '设置', '更新', '功能', '版本']"
S15 Pro,"['游戏', '卡', '系统', '显示', '耗电', '更新', '软件', '设置', '版本']"
S15e,"['游戏', '卡', '显示', '软件', '设置', '系统', '钱']"
S16,"['卡', '显示', '设置', '游戏', '系统', '软件']"
S16 Pro,"['卡', '游戏', '设置', '显示', '系统', '屏幕']"
S17,"['好看', '钱', '系列', '日', 's17', '游戏', '群']"
S17 Pro,"['好看', '漂亮', '谢谢', '钱', '美']"
S17e,"['卡', '谢谢', '钱', '游戏', '美女']"
S17t,"['卡', '谢谢', '游戏', '耳机', '两']"
iQOO Neo6,"['游戏', '系统', '卡', '更新', '耗电', '玩', '显示', '版本', '反馈', '软件', '电池', '设置', '掉帧', '屏幕']"
iQOO Neo6 SE,"['游戏', '卡', '系统', '显示', '耗电', '设置', '玩', '更新', '功能', '软件', '屏幕', '版本']"
iQOO Neo7 SE,"['游戏', '卡', '系统', '显示', '耗电', '设置', '屏幕', '更新', '软件', '玩', '功能', '版本']"
iQOO Neo7 竞速版,"['游戏', '竞速', '系统', '卡', '显示', '玩', '屏幕', '耗电', '设置', '版本', '电池', '软件', '更新']"
iQOO Neo8,"['游戏', 'neo8', '卡', '反馈', '系统', '屏幕', '更新', '显示', '玩', '地址', '钱', '两']"
iQOO Neo8 Pro,"['游戏', '卡', '系统', '玩', '屏幕', '耗电', '更新', '显示']"
